file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,206,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,207,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,208,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,7
style.css,209,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,6
style.css,210,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,12
style.css,211,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,57
style.css,212,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,44
style.css,213,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,46
style.css,214,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,11
style.css,215,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,15
style.css,216,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,24
style.css,217,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,17
style.css,218,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,68
style.css,219,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,220,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,221,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,7
style.css,222,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,20
style.css,223,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,9
style.css,224,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,10
style.css,225,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,17
